"step","run-multi-task-debiasing-separate-logits - _step","run-multi-task-debiasing-separate-logits - _step__MIN","run-multi-task-debiasing-separate-logits - _step__MAX","run-multi-task-debiasing-separate-logits - Skip loss","run-multi-task-debiasing-separate-logits - Skip loss__MIN","run-multi-task-debiasing-separate-logits - Skip loss__MAX"
"2","7","7","7","0.14802874624729156","0.14802874624729156","0.14802874624729156"
"13","62","62","62","0.1705436110496521","0.1705436110496521","0.1705436110496521"
"14","67","67","67","0.1857324093580246","0.1857324093580246","0.1857324093580246"
"36","177","177","177","0.2140200287103653","0.2140200287103653","0.2140200287103653"
"86","427","427","427","0.2799653112888336","0.2799653112888336","0.2799653112888336"
"102","507","507","507","0.6389078497886658","0.6389078497886658","0.6389078497886658"
"118","587","587","587","0.267645001411438","0.267645001411438","0.267645001411438"
"121","602","602","602","0.5665979385375977","0.5665979385375977","0.5665979385375977"
"131","652","652","652","0.3705606162548065","0.3705606162548065","0.3705606162548065"
"152","757","757","757","0.1876334249973297","0.1876334249973297","0.1876334249973297"
"165","822","822","822","0.08856037259101868","0.08856037259101868","0.08856037259101868"
"173","862","862","862","0.2598743736743927","0.2598743736743927","0.2598743736743927"
"177","882","882","882","0.06463619321584702","0.06463619321584702","0.06463619321584702"
"186","927","927","927","0.10966072976589203","0.10966072976589203","0.10966072976589203"
"191","952","952","952","0.1242642030119896","0.1242642030119896","0.1242642030119896"
"197","982","982","982","0.2485605627298355","0.2485605627298355","0.2485605627298355"
"203","1012","1012","1012","0.4900546073913574","0.4900546073913574","0.4900546073913574"
"204","1017","1017","1017","0.29675304889678955","0.29675304889678955","0.29675304889678955"
"211","1052","1052","1052","0.11938177049160004","0.11938177049160004","0.11938177049160004"
"215","1072","1072","1072","0.28792011737823486","0.28792011737823486","0.28792011737823486"
"217","1082","1082","1082","0.37834417819976807","0.37834417819976807","0.37834417819976807"
"293","1462","1462","1462","0.17646323144435883","0.17646323144435883","0.17646323144435883"
"298","1487","1487","1487","0.11400797218084335","0.11400797218084335","0.11400797218084335"
"307","1532","1532","1532","0.1768946647644043","0.1768946647644043","0.1768946647644043"
"313","1562","1562","1562","0.10299938917160034","0.10299938917160034","0.10299938917160034"
"317","1582","1582","1582","0.3002023696899414","0.3002023696899414","0.3002023696899414"
"325","1622","1622","1622","0.20980793237686157","0.20980793237686157","0.20980793237686157"
"326","1627","1627","1627","0.22725650668144226","0.22725650668144226","0.22725650668144226"
"335","1672","1672","1672","0.10901477932929993","0.10901477932929993","0.10901477932929993"
"336","1677","1677","1677","0.09772223234176636","0.09772223234176636","0.09772223234176636"
"346","1727","1727","1727","0.4198042154312134","0.4198042154312134","0.4198042154312134"
"362","1807","1807","1807","0.2945561408996582","0.2945561408996582","0.2945561408996582"
"373","1862","1862","1862","0.1136765331029892","0.1136765331029892","0.1136765331029892"
"378","1887","1887","1887","0.06820275634527206","0.06820275634527206","0.06820275634527206"
"387","1932","1932","1932","0.36795884370803833","0.36795884370803833","0.36795884370803833"
